X:Vel_RX-SWINGARM000-fuzajiaolian(rad/s),Y:Vel_RX-SWINGARM000-fuzajiaolian(rad/s)
0.0000000,0.0000000
0.00050500000,-0.17596130
0.0010170000,-0.17596130
0.0015290000,-0.17596130
0.0020410000,-0.17596130
0.0025530000,-0.11626128
0.0030010000,0.82517667
0.0035130000,1.3679579
0.0040250000,1.4695670
0.0045370000,1.4809379
0.0050490000,1.4815905
0.0055610000,1.4817129
0.0060730000,1.4817435
0.0065850000,1.4817511
0.0070970000,1.4817530
0.0076090000,1.4817535
0.0081210000,1.4817537
0.0086330000,1.4817538
0.0091450000,1.4817538
0.0096570000,1.4817538
0.010169000,1.4817538
0.010681000,1.4817538
0.011193000,1.4817538
0.011705000,1.4641346
0.012217000,1.2404051
0.012985000,0.72261287
0.013241000,0.62843179
0.013753000,0.57240831
0.014009000,0.56418024
0.014521000,0.55800919
0.015033000,0.55646643
0.015545000,0.55608074
0.016313000,0.55595217
0.016825000,0.55592003
0.017337000,0.55590396
0.017849000,0.55589593
0.018361000,0.55589191
0.018873000,0.55588990
0.019385000,0.55588890
0.019897000,0.55588840
0.020409000,0.55588814
0.020921000,0.55588802
0.021433000,0.55588796
0.021933000,0.56356038
0.022433000,0.71790972
0.022933000,0.94839003
0.023433000,1.1236102
0.023933000,1.2180901
0.024433000,1.2565197
0.024933000,1.2731639
0.025433000,1.2814860
0.025933000,1.2856470
0.026433000,1.2877275
0.026933000,1.2887678
0.027933000,1.2898081
0.028933000,1.2903282
0.029933000,1.2905883
0.030933000,1.2907183
0.031933000,1.2907833
0.032933000,1.2908158
0.033933000,1.2908321
0.034933000,1.2908402
0.035933000,1.2908443
0.036933000,1.2908463
0.037933000,1.2908473
0.038933000,1.2908478
0.039933000,1.2908481
0.040933000,1.2908482
0.041933000,1.2796860
0.042433000,1.2194588
0.042933000,1.0803691
0.043433000,0.96430075
0.043933000,0.89618910
0.044433000,0.86919533
0.044933000,0.85777665
0.045433000,0.85206730
0.045933000,0.84921263
0.046433000,0.84778530
0.046933000,0.84707163
0.047433000,0.84671480
0.048433000,0.84635796
0.049433000,0.84617955
0.050433000,0.84609034
0.051433000,0.84604573
0.052433000,0.84602343
0.053433000,0.84601228
0.054433000,0.84600670
0.055433000,0.84600392
0.056433000,0.84600252
0.057433000,0.84600183
0.058433000,0.84600148
0.059433000,0.84600130
0.060433000,0.84600122
0.061433000,0.84600117
0.062433000,0.84600115
0.063433000,0.84600114
0.064433000,0.84600113
0.065433000,0.84600113
0.066433000,0.84600113
0.067433000,0.84600113
0.068433000,0.84600113
0.069433000,0.84600113
0.070433000,0.84600113
0.071433000,0.84600113
0.072433000,0.84600113
0.073433000,0.84600113
0.074433000,0.84600113
0.075433000,0.84600113
0.076433000,0.84600113
0.077433000,0.84600113
0.078433000,0.84600113
0.079433000,0.84600113
0.080433000,0.84600113
0.081433000,0.84600113
0.082433000,0.84328244
0.083433000,0.89655767
0.083933000,0.93223788
0.084433000,0.96711000
0.084933000,0.99151714
0.085433000,1.0040427
0.085933000,1.0086835
0.086433000,1.0109114
0.086933000,1.0120254
0.087433000,1.0125824
0.087933000,1.0128609
0.088433000,1.0130001
0.088933000,1.0130698
0.089933000,1.0131394
0.090933000,1.0131742
0.091933000,1.0131916
0.092933000,1.0132003
0.093933000,1.0132047
0.094933000,1.0132068
0.095933000,1.0132079
0.096933000,1.0132085
0.097933000,1.0132087
0.098933000,1.0132089
0.099933000,1.0132089
0.10093300,1.0132090
0.10193300,1.0132090
0.10293300,1.0132090
0.10393300,1.0132090
0.10493300,1.0132090
0.10593300,1.0132090
0.10693300,1.0132090
0.10793300,1.0132090
0.10893300,1.0132090
0.10993300,1.0132090
0.11093300,1.0132090
0.11193300,1.0132090
0.11293300,1.0132090
0.11393300,1.0132090
0.11493300,1.0132090
0.11593300,1.0132090
0.11693300,1.0132090
0.11793300,1.0132090
0.11893300,1.0132090
0.11993300,1.0132090
0.12093300,1.0132090
0.12193300,1.0132090
0.12293300,1.0132090
0.12393300,1.0132090
0.12493300,1.0132090
0.12593300,1.0132090
0.12693300,1.0132090
0.12793300,1.0132090
0.12893300,1.0132090
0.12993300,1.0132090
0.13093300,1.0132090
0.13193300,1.0132090
0.13293300,1.0132090
0.13393300,1.0132090
0.13493300,1.0132090
0.13593300,1.0132090
0.13693300,1.0132090
0.13793300,1.0132090
0.13893300,1.0132090
0.13993300,1.0132090
0.14093300,1.0132090
0.14193300,1.0132090
0.14293300,1.0132090
0.14393300,1.0132090
0.14493300,1.0132090
0.14593300,1.0132090
0.14693300,1.0132090
0.14793300,1.0132090
0.14893300,1.0132090
0.14993300,1.0132090
0.15093300,1.0129111
0.15193300,1.0130292
0.15293300,1.0130324
0.15393300,1.0130339
0.15493300,1.0130347
0.15593300,1.0130351
0.15693300,1.0130353
0.15793300,1.0130354
0.15893300,1.0130354
0.15993300,1.0130355
0.16093300,1.0130355
0.16143300,1.0130355
0.16193300,1.0130355
0.16243300,1.0130355
0.16293300,1.0130355
0.16343300,1.0131074
0.16393300,1.0139759
0.16443300,1.0141247
0.16493300,1.0141990
0.16543300,1.0142362
0.16593300,1.0142548
0.16643300,1.0135713
0.16743300,0.99756200
0.16843300,0.98582204
0.16943300,1.0044452
0.16993300,1.0368322
0.17043300,1.0673998
0.17093300,1.0771813
0.17143300,1.0811493
0.17193300,1.0831333
0.17243300,1.0841253
0.17293300,1.0846213
0.17343300,1.0848693
0.17393300,1.0849933
0.17443300,1.0850553
0.17493300,1.0850863
0.17593300,1.0851173
0.17693300,1.0851328
0.17793300,1.0851405
0.17893300,1.0851444
0.17993300,1.0851463
0.18093300,1.0851473
0.18193300,1.0851478
0.18293300,1.0851480
0.18393300,1.0851482
0.18493300,1.0851482
0.18593300,1.0851482
0.18693300,1.0851483
0.18793300,1.0851483
0.18893300,1.0851483
0.18993300,1.0851483
0.19093300,1.0851483
0.19193300,1.0851483
0.19293300,1.0851483
0.19393300,1.0851483
0.19443300,1.0851483
0.19493300,1.0851483
0.19543300,1.0851483
0.19593300,1.0851483
0.19643300,1.0851483
0.19693300,1.0851483
0.19743300,1.0851483
0.19793300,1.0821921
0.19843300,1.0768664
0.19868300,1.0750940
0.19918300,1.0743880
0.19968300,1.0742115
0.20018300,1.0741673
0.20068300,1.0741563
0.20118300,1.0741536
0.20168300,1.0721547
0.20218300,1.0602836
0.20268300,1.0551870
0.20318300,1.0536410
0.20368300,1.0528680
0.20418300,1.0524153
0.20468300,1.0392355
0.20518300,1.0273368
0.20568300,1.0087478
0.20618300,0.98635207
0.20668300,0.96482434
0.20768300,0.95154686
0.20868300,0.94570171
0.20968300,0.94281704
0.21068300,0.94137470
0.21168300,0.94065353
0.21268300,0.94029294
0.21368300,0.94011265
0.21468300,0.94002251
0.21568300,0.93997743
0.21668300,0.93995490
0.21768300,0.93994363
0.21868300,0.93993799
0.21968300,0.93993518
0.22068300,0.93993377
0.22168300,0.93993306
0.22268300,0.93993271
0.22368300,0.93993254
0.22468300,0.93993245
0.22568300,0.93993240
0.22668300,0.93993238
0.22768300,0.93993237
0.22868300,0.93993237
0.22968300,0.93993236
0.23068300,0.93993236
0.23168300,0.93993236
0.23268300,0.93993236
0.23368300,0.93993236
0.23418300,0.93993236
0.23468300,0.93993236
0.23518300,0.93993236
0.23568300,0.93993236
0.23618300,0.93993236
0.23668300,0.93993236
0.23718300,0.93993236
0.23768300,0.93993236
0.23818300,0.93993236
0.23868300,0.93993236
0.23918300,0.93993236
0.24018300,0.93993236
0.24118300,0.93993236
0.24218300,0.93993236
0.24318300,0.93993236
0.24418300,0.93993236
0.24518300,0.93993236
0.24618300,0.93525857
0.24718300,0.93889082
0.24818300,0.93923654
0.24918300,0.93940940
0.25018300,0.93949583
0.25118300,0.93953904
0.25218300,0.93956065
0.25318300,0.93957145
0.25418300,0.93957685
0.25518300,1.0054273
0.25618300,1.0449390
0.25718300,1.0551830
0.25818300,1.0603050
0.25918300,1.0628659
0.26018300,1.0641464
0.26118300,1.0647867
0.26218300,1.0651068
0.26318300,1.0652669
0.26418300,1.0653469
0.26518300,1.0653869
0.26618300,1.0654069
0.26718300,1.0654169
0.26818300,1.0654219
0.26918300,1.0654244
0.27018300,1.0654257
0.27118300,1.0654263
0.27218300,1.0654266
0.27318300,1.0654268
0.27418300,1.0654269
0.27518300,1.0654269
0.27618300,1.0654269
0.27718300,1.0654269
0.27818300,1.0654269
0.27918300,1.0654269
0.28018300,1.0654269
0.28118300,1.0654269
0.28218300,1.0654269
0.28318300,1.0654269
0.28418300,1.0654269
0.28518300,1.0654269
0.28618300,1.0654269
0.28718300,1.0654269
0.28818300,1.0654269
0.28918300,1.0654269
0.29018300,1.0654269
0.29118300,1.0654269
0.29218300,1.0654269
0.29318300,1.0654269
0.29418300,1.0654269
0.29518300,1.0654269
0.29618300,1.0617150
0.29718300,1.0592341
0.29818300,1.0586144
0.29918300,1.0583046
0.30018300,1.0581497
0.30118300,1.0580722
0.30218300,1.0580335
0.30268300,1.0566115
0.30318300,1.0542599
0.30368300,1.0532420
0.30418300,1.0529151
0.30468300,1.0527516
0.30518300,1.0526698
0.30568300,1.0526290
0.30618300,1.0523176
0.30668300,1.0512212
0.30718300,1.0504863
0.30768300,1.0502963
0.30868300,1.0501064
0.30968300,1.0500114
0.31068300,1.0499640
0.31168300,1.0499402
0.31268300,1.0499284
0.31368300,1.0499224
0.31468300,1.0499195
0.31568300,1.0489731
0.31668300,1.0481281
0.31768300,1.0479345
0.31868300,1.0478377
0.31968300,1.0477894
0.32068300,1.0477652
0.32168300,1.0477531
0.32268300,1.0477470
0.32368300,1.0477440
0.32468300,1.0477425
0.32568300,1.0477417
0.32668300,1.0477413
0.32768300,1.0477412
0.32868300,1.0477411
0.32968300,1.0477410
0.33068300,1.0477410
0.33168300,1.0477410
0.33268300,1.0477410
0.33368300,1.0477410
0.33468300,1.0477410
0.33568300,1.0477410
0.33668300,1.0477410
0.33768300,1.0477410
0.33868300,1.0477410
0.33968300,1.0477410
0.34068300,1.0477410
0.34168300,1.0477410
0.34268300,1.0477410
0.34368300,1.0477410
0.34468300,1.0477410
0.34568300,1.0477410
0.34668300,1.0477410
0.34768300,1.0477410
0.34868300,1.0477410
0.34968300,1.0477410
0.35068300,1.0477410
0.35168300,1.0477410
0.35268300,1.0477410
0.35368300,1.0477410
0.35468300,1.0477410
0.35568300,1.0477410
0.35668300,1.0447959
0.35768300,1.0426470
0.35868300,1.0421253
0.35968300,1.0418644
0.36068300,1.0417340
0.36118300,1.0417013
0.36168300,1.0106844
0.36218300,0.92516225
0.36268300,0.85112459
0.36318300,0.80282394
0.36368300,0.78259225
0.36418300,0.77457407
0.36468300,0.77056497
0.36518300,0.76856043
0.36568300,0.76755815
0.36618300,0.76705702
0.36718300,0.76655588
0.36818300,0.76630531
0.36918300,0.76618003
0.37018300,0.76611739
0.37118300,0.76608606
0.37218300,0.76607040
0.37318300,0.76606257
0.37418300,0.76605866
0.37518300,0.76605670
0.37618300,0.76605572
0.37718300,0.76605523
0.37818300,0.76605499
0.37918300,0.76605487
0.38018300,0.76605480
0.38118300,0.76605477
0.38218300,0.76605476
0.38318300,0.76605475
0.38418300,0.76621867
0.38518300,0.76690060
0.38618300,0.76822126
0.38718300,0.76848230
0.38818300,0.76861281
0.38918300,0.81937331
0.38968300,0.94413101
0.39018300,1.0764185
0.39068300,1.1615262
0.39118300,1.1996393
0.39168300,1.2139919
0.39218300,1.2211682
0.39268300,1.2247563
0.39318300,1.2265504
0.39368300,1.2274475
0.39418300,1.2278960
0.39468300,1.2281202
0.39568300,1.2283445
0.39668300,1.2284566
0.39768300,1.2285127
0.39868300,1.2285407
0.39968300,1.2285547
0.40068300,1.2285617
0.40118300,1.2264809
0.40168300,1.2229688
0.40218300,1.2214531
0.40268300,1.2212156
0.40318300,1.2211562
0.40368300,1.2211414
0.40418300,1.2211376
0.40493300,1.2211364
0.40543300,1.2211361
0.40593300,1.2211359
0.40618300,1.2119329
0.40668300,1.1014832
0.40718300,0.93003290
0.40768300,0.81615175
0.40818300,0.77505126
0.40868300,0.76690472
0.40918300,0.76422364
0.40968300,0.76288309
0.41018300,0.76221282
0.41068300,0.76187769
0.41118300,0.76171012
0.41168300,0.76162634
0.41218300,0.76158444
0.41268300,0.76156350
0.41318300,0.76155303
0.41368300,0.76154779
0.41418300,0.76154517
0.41518300,0.76154255
0.41618300,0.76154124
0.41718300,0.76154059
0.41818300,0.76154026
0.41918300,0.76154010
0.42018300,0.76154002
0.42118300,0.76153997
0.42218300,0.76176985
0.42318300,0.76229137
0.42368300,0.77831531
0.42418300,0.84122847
0.42468300,0.94562627
0.42518300,1.0396507
0.42568300,1.0976226
0.42618300,1.1225648
0.42668300,1.1476004
0.42718300,1.1724261
0.42768300,1.1951715
0.42818300,1.2143453
0.42868300,1.2269850
0.42968300,1.2395407
0.43068300,1.2441924
0.43168300,1.2465182
0.43268300,1.2476812
0.43368300,1.2482626
0.43468300,1.2485533
0.43568300,1.2486987
0.43668300,1.2487714
0.43768300,1.2488077
0.43868300,1.2488259
0.43968300,1.2488350
0.44068300,1.2487864
0.44168300,1.2426552
0.44268300,1.2397890
0.44368300,1.2389699
0.44468300,1.2385604
0.44568300,1.1539406
0.44618300,1.0449807
0.44668300,0.95266423
0.44718300,0.89320203
0.44768300,0.86503300
0.44818300,0.85456508
0.44868300,0.84933111
0.44918300,0.84671413
0.44968300,0.84540564
0.45018300,0.84475139
0.45068300,0.84442427
0.45118300,0.84426071
0.45218300,0.84409715
0.45318300,0.84401537
0.45418300,0.84397448
0.45518300,0.84395403
0.45618300,0.84394381
0.45718300,0.84393870
0.45768300,0.84393742
0.45818300,0.84393678
0.45868300,0.84393646
0.45918300,0.84393630
0.45968300,0.84393622
0.46018300,0.84393618
0.46068300,0.84393616
0.46118300,0.84393615
0.46168300,0.84393615
0.46218300,0.84393614
0.46268300,0.84393614
0.46368300,0.84393614
0.46468300,0.84393614
0.46568300,0.84393614
0.46668300,0.84393614
0.46768300,0.84393614
0.46868300,0.84393614
0.46918300,0.84253230
0.46968300,0.90444044
0.47018300,0.97772321
0.47068300,1.0292661
0.47118300,1.0449131
0.47168300,1.0521208
0.47218300,1.0557246
0.47268300,1.0575266
0.47318300,1.0584275
0.47368300,1.0588780
0.47418300,1.0591032
0.47518300,1.0593285
0.47618300,1.0594411
0.47718300,1.0594974
0.47818300,1.0595256
0.47918300,1.0595396
0.48018300,1.0595467
0.48118300,1.0595502
0.48218300,1.0595520
0.48318300,1.0595528
0.48418300,1.0595533
0.48518300,1.0595535
0.48618300,1.0595536
0.48718300,1.0595537
0.48818300,1.0595537
0.48918300,1.0595537
0.49018300,1.0595537
0.49118300,1.0595537
0.49218300,1.0595537
0.49318300,1.0595537
0.49418300,1.0595537
0.49518300,1.0595537
0.49618300,1.0595537
0.49718300,1.0595537
0.49818300,1.0595537
0.49918300,1.0595537
0.50000000,1.0595537
